наименование;ВТСС;ВТСС ТП в КЗ;ОТСС;ОТСС ТП в КЗ;ОТСС СОЗ
БУМ;2,5;2;0;0;0
Бытовая техника крупная;2,5;2;0;0;0
Бытовая техника мелкая;2,5;2;0;0;0
Видеокамера;4,25;3,25;6,5;5,5;1,65
Видеорегистратор;4,25;3,25;6,5;5,5;1,65
Гарнитура;2;2;3,25;3,25;0,98
Датчик, БУ, оповещатель, метеостанция, антенна, домофон;2,5;2;0;0;0
ИБП;2,5;2;2,5;2;0,6
Калькулятор;1,25;1,25;0;0;0
Климатическое оборудование;2,5;2;0;0;0
Колонки акустические;2,5;2;4,5;4;1,2
Коммутационное оборудование;4,75;3,75;7,25;5,25;1,58
Комплектующие изделия (плата, БП);2,5;2;4,5;5;1,5
МНИ;1;1;3;3;0,9
Монитор;4;3;6,5;4,5;1,35
Мультимедийное устройство крупное;4,25;3,25;6,5;4,5;1,35
Мультимедийное устройство портативное;4,25;3,25;6,5;4,5;1,35
МФУ, плоттер;4,25;3,25;8;5,5;1,65
Навигационное оборудование;2;2;0;0;0
Оборудование для конференций;4,25;3,25;8;5,5;1,65
Система оповещения;4,25;3,25;8;5,5;1,65
Периферийное оборудование ПЭВМ;1;1;3;2;0,6
Плазменная панель;5,5;4;10;7,25;2,18
Предметы интерьера;1,25;1;0;0;0
Принтер;4,25;3,25;8;5,5;1,65
ПДУ;1,25;1;0;0;0
ПЭВМ (моноблок);4,25;3,25;8;5,5;1,65
ПЭВМ (комплект: сист.блок, конитор, клавиатура, мышь);5,5;3,5;10;5,75;1,73
ПЭВМ (ноутбук);4,25;3,25;8;5,5;1,65
ПЭВМ (планшетный компьютер);4,25;3,25;8;5,5;1,65
ПЭВМ (сервер), программно-аппаратный комплекс;4,25;3,25;8;5,5;1,65
ПЭВМ (системный блок), дисковый массив;4,25;3,25;8;5,5;1,65
Ресивер цифровой (ТВ-приставка);4,25;3,25;0;0;0
Сетевой фильтр, удлинитель;2,5;2;0;0;0
Сканер;4,25;3,25;7,25;4,75;1,43
Средства измерения (генераторы, анализаторы и т.п.);4,25;3,25;0;0;0
Сувенирное изделие;2,5;2;0;0;0
Телевизор;5,5;4;10;5,75;1,73
Телефон IP;4,25;3,25;7;4,5;1,35
Телефон мобильный, рация;4,25;2;7;4,5;1,35
Телефон проводной;4,25;3,25;7;4,5;1,35
Телефон спутниковый, терминал;4,25;3,25;0;0;0
Маскиратор, генератор шума;4,25;3,25;0;0;0
Факсимильный аппарат, кассовый аппарат;4,25;3,25;7;4,5;1,35
Фотоаппарат;4,25;3,25;7;4,5;1,35
Фоторамка, электронная книга, графический планшет;4,25;3,25;8;5,5;1,65
Часы;1,25;1;0;0;0
Электроустановочные изделия (лампы, светильники, замки);2,5;2;0;0;0
